	Proteobacteria	Actinobacteria	Acidobacteria	Verrucomicrobia	Planctomycetes	Chloroflexi	Firmicutes	Bacteria_unclassified	Bacteroidetes	Gemmatimonadetes	Rokubacteria	Thaumarchaeota	Armatimonadetes	Entotheonellaeota	Latescibacteria	Chlamydiae	Dependentiae	Cyanobacteria	Nitrospirae	Elusimicrobia	Patescibacteria	BRC1	Fibrobacteres	FBP	Omnitrophicaeota	WS2	Nanoarchaeaeota	Tenericutes	GAL15	Euryarchaeota	WS4	Dadabacteria	Hydrogenedentes	Archaea_unclassified	WPS-2	Margulisbacteria	Kiritimatiellaeota	Deinococcus-Thermus
cb6a	0.28140406231513576	0.24791296917109923	0.1886873069085614	0.04755800959705522	0.06665352001577556	0.04890554131335066	0.02918556497732211	0.024321304147768473	0.010845986984815634	0.011601919411030056	0.017945178465785847	0.0008873989351212778	0.0075264576349174895	0.005357260237954376	0.0031223295865378305	0.0031223295865378314	0.002037730888056269	0.000591599290080852	0.00019719976336028398	0.0003943995267205679	0.0005915992900808519	0.0004929994084007099	9.859988168014198e-05	6.573325445342799e-05	6.573325445342799e-05	0.00016433313613356998	0.00013146650890685598	3.2866627226713995e-05	0.0	0.0	9.859988168014198e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cb6b	0.29132360063652885	0.22753061648100883	0.1847021379644375	0.054141008787103144	0.0683249152425109	0.047187435134574414	0.03179270739638843	0.02252127585968329	0.013457413685740036	0.011727668996056222	0.019649899674808017	0.0010032519200166056	0.008198989829101229	0.005846537051131252	0.0045319310869715605	0.002698401715906731	0.002110288521414238	0.0010378468138102822	0.00034594893793676054	0.0003805438317304366	0.0005535183006988169	0.0003113540441430845	0.00013837957517470422	6.918978758735211e-05	0.0	3.4594893793676056e-05	0.00010378468138102817	6.918978758735211e-05	3.4594893793676056e-05	3.4594893793676056e-05	6.918978758735211e-05	0.0	0.0	0.0	0.0	6.918978758735211e-05	0.0	0.0
wa4a	0.3047681289654897	0.2560248345723348	0.19992919968411893	0.02589657707703631	0.05696702339133591	0.032568145304033166	0.021866405250115854	0.019306701522206975	0.011328050540533235	0.027475968738937585	0.008414345233232588	0.01734607739019144	0.005555101707376848	0.003757862919696103	0.0014160063175666475	0.0013070827546769056	0.0008169267216730659	0.0009803120660076793	0.001443237208289083	0.0010075429567301146	0.00027230890722435534	0.00010892356288974211	0.0002723089072243553	0.0001633853443346132	0.0004901560330038395	0.0001633853443346132	2.7230890722435532e-05	2.7230890722435532e-05	2.7230890722435532e-05	0.0	0.0	0.0001906162350570487	5.4461781444871064e-05	0.0	0.0	0.0	2.7230890722435532e-05	0.0
wa4b	0.2779710379419071	0.23699538872259096	0.21422215031146027	0.027505865221260434	0.07847261548418433	0.03964080576005136	0.020427149906965474	0.02038670010516951	0.011689992719035692	0.025645174338645767	0.012418089151363162	0.014764177655529492	0.00715961491788691	0.004004530377801151	0.0016584418736348186	0.0010921446484912225	0.0010516948466952512	0.0008089960359194242	0.00137529326106302	0.0008089960359194242	0.0004044980179597121	0.0004853976215516545	0.00020224900897985602	8.08996035919424e-05	0.00028314861257179846	8.08996035919424e-05	8.08996035919424e-05	0.0	0.0	0.0	0.0	0.000202249008979856	0.0	4.04498017959712e-05	0.0	0.0	4.04498017959712e-05	0.0
wa5a	0.292969967162828	0.18774717768029867	0.15368759138083452	0.17808777354329727	0.05706958126603037	0.030032837180317292	0.03511421106876663	0.015963184008053497	0.013853934469451818	0.008365091920136132	0.010234654011169433	0.0006950935979482756	0.0040746866086623	0.004554061503799044	0.0011744684930850165	0.00203734330433115	0.001054624769300832	0.0016538433882217574	7.190623427051125e-05	0.00038349991610939324	0.0003595311713525562	0.00033556242659571917	7.190623427051125e-05	0.00023968744756837086	2.3968744756837084e-05	0.0	2.3968744756837084e-05	2.3968744756837084e-05	0.0	7.190623427051125e-05	0.0	0.0	2.3968744756837084e-05	0.0	0.0	0.0	0.0	0.0
wa5b	0.29089209305670394	0.18043220308511007	0.16047607061953892	0.15396785444608246	0.0666642695336377	0.03221746790838155	0.03886951206357195	0.01787062673043039	0.018122325698464625	0.00902520585379885	0.01182985149760886	0.0007910538995361548	0.005932904246521158	0.004890151378950774	0.0015101938082053858	0.001546150803638847	0.0016899787853726933	0.0012944518356046162	0.0	0.0005033979360684622	0.00028765596346769267	0.0002157419726007695	0.000431483945201539	0.000251698968034231	0.0	0.0	0.0	0.00010787098630038473	0.0	0.00010787098630038473	0.0	0.0	0.0	0.0	7.191399086692315e-05	0.0	0.0	0.0
wa6a	0.2828899015140283	0.17720123474937768	0.18870351315596298	0.09484786123768887	0.06611053946788187	0.04516389828017085	0.06148022931059848	0.017014552403351473	0.018815228575628336	0.011980008819638415	0.011355284433338239	0.0020211671321475823	0.007937674555343218	0.0030501249448772615	0.002351903571953551	0.002315155078641778	0.001139203292665001	0.002976627958253715	7.349698662354843e-05	0.0008084668528590327	0.00036748493311774215	0.000514478906364839	0.00018374246655887108	0.00029398794649419373	0.0	7.349698662354843e-05	0.00011024547993532266	0.0	0.0	0.00018374246655887108	3.674849331177422e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
wa6b	0.29707199627203534	0.18774432391850118	0.181401610272606	0.09382038470499886	0.06078649649209026	0.044347218267014925	0.06021694669531648	0.01711238253035423	0.016905273513345507	0.01020011908768474	0.00931990576539725	0.0018122038988272453	0.006316825018769263	0.0031584125093846284	0.0016568721360706252	0.002562974085484251	0.000880213322287519	0.0024076423227276287	5.1777254252207005e-05	0.0003365521526393455	0.0004918839153959665	0.000569549796774277	0.00028477489838713856	0.0001812203898827245	0.0	0.0	7.766588137831051e-05	5.1777254252207005e-05	0.0	0.0001294431356305175	2.5888627126103502e-05	2.5888627126103502e-05	0.0	0.0	0.0	5.1777254252207005e-05	0.0	0.0
wb4a	0.25206250341474645	0.33415287111403175	0.20040430530514455	0.029913128995246608	0.05395290389553577	0.03351909523028994	0.014041413975850923	0.018412282139539878	0.011992569524121695	0.015899032945418758	0.011173031743430036	0.006884117357810196	0.008331967437032179	0.0028137463803748013	0.0018576189695678313	0.0013658963011528172	0.0010927170409222534	8.1953778069169e-05	0.00046440474239195766	0.0005190405944380702	0.000245861334207507	0.000245861334207507	5.463585204611266e-05	8.1953778069169e-05	0.00010927170409222532	0.00013658963011528165	8.1953778069169e-05	0.0	8.195377806916898e-05	0.0	0.0	0.0	0.0	0.0	2.731792602305633e-05	0.0	0.0	0.0
wb4b	0.25248257682446573	0.31776983353195076	0.19557288845556345	0.03271584877044733	0.06171234608023619	0.03957678835806856	0.012783013757989422	0.02069114938793182	0.011194164590329722	0.016682916260426808	0.012999675008124805	0.006897049795977326	0.007872025421586694	0.003719351460657927	0.00245549416820135	0.0015166287509478925	0.0009388654172534574	0.00018055104177951104	0.0008305347921857509	0.0005055429169826309	0.00021666125013541324	0.0003611020835590221	0.00010833062506770663	0.0	3.611020835590221e-05	0.00018055104177951104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
wb5a	0.29964547388323065	0.19094776648546952	0.18380997400142302	0.11897896478373858	0.06154573386905999	0.03313637437957922	0.026707634129047607	0.017702670763413007	0.016402741668636273	0.01295202079886554	0.015268258095013006	0.0003545261167572678	0.006003308910423048	0.005436067123611435	0.003214370125265896	0.0032616402741668664	0.0019617111793902163	0.0005199716379106594	4.7270148900969035e-05	0.0005199716379106593	0.0007563223824155049	0.0003545261167572678	0.00016544552115339164	0.0	4.7270148900969035e-05	9.454029780193807e-05	4.7270148900969035e-05	0.0	0.0	4.7270148900969035e-05	2.3635074450484518e-05	0.0	2.3635074450484518e-05	0.0	0.0	2.3635074450484518e-05	0.0	0.0
wb5b	0.317343600729538	0.19323741423733234	0.17424659120516922	0.10314680253596933	0.06499145991951953	0.03444981617114866	0.026980864429840917	0.017138059809512735	0.01626957704889557	0.01444576325159948	0.015169498885447124	0.0003473931042468807	0.006079379324320418	0.005992531048258694	0.0032712850649914567	0.001968560924065657	0.0017659149465883103	0.0007526850592015749	0.0	0.0007816344845554816	0.00037634252960078743	0.000521089656370321	0.00037634252960078743	5.789885070781345e-05	5.789885070781345e-05	0.0	0.0	0.0	0.0001157977014156269	0.0	2.8949425353906726e-05	0.0	2.8949425353906726e-05	2.8949425353906726e-05	0.0	2.8949425353906726e-05	0.0	0.0
wb6a	0.2899809038828619	0.18446849140675078	0.13601527689370083	0.20809675366009034	0.05206874602164152	0.02813494589433451	0.028084022915340415	0.015276893698281162	0.016702737110120828	0.009446212603437263	0.013087205601527669	0.0010184595798854233	0.005321451304901338	0.004710375556970083	0.0015276893698281352	0.001858688733290898	0.0015276893698281354	0.00038192234245703385	0.0001782304264799491	0.0006619987269255253	0.0006110757479312541	0.0004073838319541694	5.0922978994271167e-05	0.0002036919159770847	2.5461489497135583e-05	2.5461489497135583e-05	5.0922978994271167e-05	0.0	5.0922978994271167e-05	0.0	0.0	0.0	0.0	0.0	2.5461489497135583e-05	0.0	0.0	0.0
wb6b	0.28409878786431775	0.18131828723073512	0.1372080235254733	0.20314629306428833	0.05525139264111638	0.02940684247017457	0.0329930427714155	0.015564109307385087	0.01898295359456803	0.010256532861548732	0.012671241064384242	0.0010519520883639753	0.005785736486001878	0.005522748463910872	0.0012910321084466977	0.0019126401606617755	0.0011954001004136085	0.0005498840461902599	0.00011954001004136085	0.0004542520381571712	0.0003347120281158104	0.0004303440361488991	0.00011954001004136085	0.00011954001004136085	4.781600401654434e-05	0.0	4.781600401654434e-05	0.0	4.781600401654434e-05	4.781600401654434e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.390800200827217e-05
