"","baseMean","log2FoldChange","pvalue","padj","Upregulated"
"Acidobacteriae_unclassified",51.5625,6.35577712471792,6.89380055401142e-05,0.000545806688491152,"T3"
"Acetobacteraceae_genus",992.6875,-11.3692807952535,4.5310286139255e-12,6.47869464498601e-11,"T1"
"Longimicrobium",4864.8125,-13.6629559435846,1.09938640308124e-14,2.63303043537956e-13,"T1"
"Cutibacterium",45.5,6.17391357692127,9.4068159965382e-05,0.000738666370875705,"T3"
"Singulisphaera",185.3125,-8.94394888294464,2.46343903664369e-09,2.62219399678295e-08,"T1"
"Bacteroides",273.1875,-9.50544639978722,5.78995279293224e-10,6.84787009336924e-09,"T1"
"Tahibacter",2178.6875,-12.5038106415085,2.388524455453e-13,4.3173706194792e-12,"T1"
"Listeria",443.875,-10.2069747836726,9.37491063321214e-11,1.16638498527496e-09,"T1"
"Chthoniobacterales_unclassified",185.3125,-8.94394888294464,2.46343903664369e-09,2.62219399678295e-08,"T1"
"Photobacterium",1634.25,-12.088847392048,7.01492650568166e-13,1.12004993207384e-11,"T1"
"Psychrobacter",1329.625,-11.7910975507413,1.51763015855925e-12,2.30776141571391e-11,"T1"
"Planctomycetales_unclassified",75,-7.63175511219117,6.91897874969439e-08,6.37344388673772e-07,"T1"
"Sphaerisporangium",817.625,-11.0891834883832,9.39171053756907e-12,1.30395053550597e-10,"T1"
"Burkholderiaceae_unclassified",496.8125,-10.3697397305995,6.12899046571664e-11,7.72575377125861e-10,"T1"
"Candidatus_Uhrbacteria_ge",273.1875,-9.50544639978722,5.78995279293224e-10,6.84787009336924e-09,"T1"
"Nocardiaceae_ge",75,-7.63175511219117,6.91897874969439e-08,6.37344388673772e-07,"T1"
