	Proteobacteria	Acidobacteriota	Actinobacteriota	Verrucomicrobiota	Firmicutes	Planctomycetota	Bacteroidota	Myxococcota	Chloroflexi	Bacteria_unclassified	Gemmatimonadota	Crenarchaeota	Methylomirabilota	Dependentiae	Nitrospirota	Desulfobacterota	Armatimonadota	Bdellovibrionota	RCP2-54	Latescibacterota	Entotheonellaeota	NB1-j	Cyanobacteria	Sumerlaeota	Patescibacteria	Elusimicrobiota	MBNT15	Abditibacteriota	Fibrobacterota	WPS-2	Nitrospinota	WS2	Nanoarchaeota	Spirochaetota	Thermoplasmatota	SAR324_clade(Marine_group_B)	Hydrogenedentes	GAL15	Deinococcota	Fusobacteriota	FCPU426	Archaea_unclassified	WS4	Euryarchaeota	Margulisbacteria	Halanaerobiaeota	Halobacterota	TA06
S3U202009a	0.3449349945828762	0.22142470205850256	0.06351570964247032	0.09804983748645728	0.022210184182015175	0.05687973997833167	0.021668472372697728	0.017063921993499456	0.012730227518959896	0.0395449620801734	0.018689057421451785	0.0169284940411701	0.022345612134344526	0.012323943661971813	0.006094257854821235	0.007854821235102925	0.003114842903575298	0.004333694474539545	0.0020314192849404116	0.0013542795232936078	0.002437703141928494	0.0005417118093174431	0.0014897074756229686	0.0006771397616468039	0.00027085590465872155	0.0006771397616468039	0.0005417118093174431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013542795232936077	0.0	0.0	0.00013542795232936077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S3U202009b	0.2772675086107931	0.2698048220436289	0.04247990815154999	0.13461538461538444	0.014351320321469569	0.06917336394948342	0.018943742824339842	0.01291618828932261	0.01980482204362802	0.033869115958668226	0.0169345579793341	0.018943742824339842	0.03444316877152699	0.013490241102181392	0.006314580941446612	0.004592422502870263	0.0014351320321469576	0.001148105625717566	0.001722158438576349	0.000574052812858783	0.0020091848450057405	0.0	0.0008610792192881745	0.0020091848450057405	0.000574052812858783	0.0008610792192881745	0.0	0.0002870264064293915	0.0	0.0	0.0	0.000574052812858783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S4S202009a	0.4246575342465753	0.0821917808219178	0.0410958904109589	0.0547945205479452	0.0136986301369863	0.0547945205479452	0.0547945205479452	0.0821917808219178	0.0821917808219178	0.0	0.0410958904109589	0.0273972602739726	0.0	0.0136986301369863	0.0136986301369863	0.0	0.0	0.0	0.0	0.0	0.0136986301369863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S4S202009b	0.2812989045383422	0.23904538341158138	0.07511737089201884	0.09585289514866993	0.02934272300469482	0.062206572769952964	0.02503912363067292	0.02425665101721438	0.018388106416275432	0.03482003129890451	0.016823161189358372	0.020344287949921755	0.02621283255086072	0.0062597809076682335	0.00782472613458529	0.005477308294209704	0.005868544600938969	0.003129890453834116	0.002347417840375587	0.0011737089201877935	0.014475743348982786	0.0003912363067292645	0.0011737089201877935	0.000782472613458529	0.0003912363067292645	0.000782472613458529	0.0003912363067292645	0.0	0.0	0.0003912363067292645	0.0	0.0	0.0	0.0	0.0	0.0003912363067292645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S4U202009a	0.237973059653623	0.23091725465041604	0.07825529185375245	0.11417575368826173	0.032071840923669034	0.07761385503527911	0.01731879409878127	0.029506093649775515	0.02629890955740861	0.04041051956382299	0.034637588197562554	0.01796023091725465	0.02565747273893522	0.013470173187940984	0.005772931366260424	0.0038486209108402817	0.0032071840923669015	0.0	0.0032071840923669015	0.0025657472738935213	0.0006414368184733803	0.0	0.0012828736369467607	0.0006414368184733803	0.0012828736369467607	0.0	0.0006414368184733803	0.0	0.0	0.0006414368184733803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S4U202009b	0.2693798449612417	0.21758280479210682	0.09284707540521549	0.08861874559549006	0.04122621564482027	0.06694855532064839	0.024489076814658187	0.021317829457364327	0.025017618040873834	0.04157857646229737	0.02730796335447496	0.021494009866102892	0.02184637068357998	0.009337561663143054	0.011099365750528542	0.004404510218463707	0.004052149400986611	0.0019379844961240314	0.0026427061310782245	0.00035236081747709656	0.0005285412262156448	0.00017618040873854828	0.0010570824524312897	0.001937984496124031	0.0015856236786469346	0.0007047216349541931	0.00035236081747709656	0.00017618040873854828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S5S202009a	0.355704697986577	0.23489932885906026	0.1342281879194631	0.06711409395973154	0.026845637583892617	0.03355704697986577	0.026845637583892617	0.026845637583892617	0.0	0.013422818791946308	0.006711409395973154	0.03355704697986577	0.0	0.0	0.0	0.013422818791946308	0.0	0.0	0.006711409395973154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006711409395973154	0.006711409395973154	0.0	0.006711409395973154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S5S202009b	0.38961038961039074	0.2049062049062047	0.09956709956709948	0.0404040404040404	0.011544011544011544	0.04906204906204904	0.05483405483405481	0.04329004329004329	0.015873015873015872	0.017316017316017316	0.014430014430014432	0.001443001443001443	0.015873015873015876	0.005772005772005772	0.008658008658008658	0.002886002886002886	0.002886002886002886	0.001443001443001443	0.0	0.002886002886002886	0.0	0.012987012987012988	0.004329004329004329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S5U202009a	0.33937823834196945	0.29015544041450814	0.04015544041450776	0.08419689119170988	0.015544041450777198	0.060880829015544	0.02849740932642488	0.009067357512953369	0.009067357512953369	0.024611398963730574	0.0116580310880829	0.01295336787564767	0.032383419689119175	0.014248704663212434	0.0038860103626943004	0.0025906735751295338	0.0012953367875647669	0.0038860103626943004	0.0038860103626943004	0.0012953367875647669	0.0038860103626943004	0.0012953367875647669	0.0012953367875647669	0.0025906735751295338	0.0	0.0	0.0012953367875647669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S5U202009b	0.3665158371040719	0.2511312217194568	0.0429864253393665	0.08597285067873309	0.015837104072398193	0.06787330316742081	0.03619909502262443	0.013574660633484165	0.00904977375565611	0.03619909502262443	0.020361990950226245	0.004524886877828055	0.020361990950226245	0.006787330316742082	0.0	0.004524886877828055	0.004524886877828055	0.0022624434389140274	0.0022624434389140274	0.0022624434389140274	0.0	0.0022624434389140274	0.0	0.0022624434389140274	0.0	0.0022624434389140274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
