	S1S202009a	S1S202009b	S1U202009a	S1U202009b	S2S202009a	S2S202009b	S2U202009a	S2U202009b	S3S202009a	S3S202009b	S3U202009a	S3U202009b	S4S202009a	S4S202009b	S4U202009a	S4U202009b	S5S202009a	S5S202009b	S5U202009a	S5U202009b	S6S202009a	S6S202009b	S6U202009a	S6U202009b	S7S202009a	S7S202009b	S7U202009a	S7U202009b	S8S202009a	S8S202009b	S8U202009a	S8U202009b	soils1202009a	soils1202009b	soils2202009a	soils2202009b	soils3202009a	soils3202009b	soils4202009a	soils4202009b	soils5202009a	soils5202009b	soils6202009a	soils6202009b	soils7202009a	soils7202009b	soils8202009a	soils8202009b
Gemmatimonadota	0.02003338898163606	0.01597051597051597	0.012098650535132625	0.02857142857142857	0.024909070869613154	0.025814961371773096	0.023385866802236897	0.020979020979020935	0.018621973929236497	0.013944223107569721	0.018689057421451785	0.0169345579793341	0.0410958904109589	0.016823161189358372	0.034637588197562554	0.02730796335447496	0.006711409395973154	0.014430014430014432	0.0116580310880829	0.020361990950226245	0.025601241272304093	0.018238665971860323	0.019399538106235573	0.026350461133069835	0.01001001001001001	0.0071501532175689475	0.01436335403726709	0.014297908664105857	0.018808347062053806	0.01779483600837405	0.02007952286282305	0.014075067024128677	0.01791409377756668	0.017894456897534328	0.018827376781125928	0.015921022597580485	0.018991542056734412	0.018569085271770817	0.02156486749866412	0.02214258591228395	0.014400105446996365	0.011758446395317868	0.01858183439869182	0.016712626389237043	0.013410624675549388	0.01453906712943363	0.015170266278094957	0.015916472997855282
Crenarchaeota	0.005008347245409015	0.002457002457002457	0.02000930665425779	0.0	0.008817370219332085	0.010834746561145657	0.021606507371631924	0.02288620470438652	0.0031036623215394167	0.01195219123505976	0.0169284940411701	0.018943742824339842	0.0273972602739726	0.020344287949921755	0.01796023091725465	0.021494009866102892	0.03355704697986577	0.001443001443001443	0.01295336787564767	0.004524886877828055	0.018877682958365657	0.013809275664408545	0.02540415704387991	0.01844532279314888	0.008008008008008008	0.009193054136874362	0.021933229813664596	0.017498932991890735	0.011943986820428337	0.00942079553384508	0.020874751491053677	0.016487935656836462	0.020899776073827786	0.020325975456859553	0.021770614342443366	0.028589363159096076	0.028146077199324087	0.023514351493558048	0.02756907987802963	0.030425289538636775	0.010478795268066027	0.009523809523809521	0.015757395570090676	0.028933734436366664	0.021392109361481223	0.020380089731651563	0.025629765659307767	0.027736592026591914
Methylomirabilota	0.010851419031719533	0.013513513513513513	0.034434620753839	0.05714285714285714	0.01267496969028987	0.01026945543621632	0.021098118962887644	0.018595041322314036	0.012414649286157667	0.019920318725099598	0.022345612134344526	0.03444316877152699	0.0	0.02621283255086072	0.02565747273893522	0.02184637068357998	0.0	0.015873015873015876	0.032383419689119175	0.020361990950226245	0.016550297388156193	0.011203751954142784	0.021247113163972292	0.022397891963109356	0.007007007007007007	0.01634320735444331	0.019409937888198763	0.018352539479300038	0.006177924217462932	0.007676203768318212	0.01968190854870775	0.016890080428954426	0.007396349324828664	0.008168382660233271	0.006960990422798414	0.006676557863501481	0.008457943265415619	0.008629878948060088	0.005878469711734938	0.0050075944560470835	0.007447194121329951	0.01069433359936153	0.010034190575293592	0.006705941338681371	0.006229451462190688	0.005502412596292222	0.003992175336340771	0.005234230071651712
Dependentiae	0.005843071786310518	0.0085995085995086	0.014425314099581211	0.0	0.002314559682574672	0.001366120218579235	0.005083884087442808	0.0069930069930069965	0.005586592178770951	0.00398406374501992	0.012323943661971813	0.013490241102181392	0.0136986301369863	0.0062597809076682335	0.013470173187940984	0.009337561663143054	0.0	0.005772005772005772	0.014248704663212434	0.006787330316742082	0.008533747090768037	0.009770713913496609	0.007852193995381066	0.010540184453227932	0.009009009009009009	0.011235955056179775	0.011451863354037277	0.01067008109261631	0.005216913783635364	0.0045359385903698535	0.009542743538767393	0.008981233243967823	0.0022392617221958355	0.002773450856730368	0.001121233356692361	0.0015407441223464966	0.0030358227079538397	0.0026235221393143965	0.0015089120115683247	0.0017799506360356957	0.004745114838369533	0.004362862463421125	0.0028987661661959243	0.0018801704687891666	0.002573974736113512	0.0024549225429611435	0.0023953052018044637	0.0025998744888177713
Nitrospirota	0.008347245409015025	0.004914004914004914	0.008841321544904607	0.0	0.0031411881406370546	0.00334463915583192	0.004067107269954245	0.004291163382072473	0.004965859714463066	0.00398406374501992	0.006094257854821235	0.006314580941446612	0.0136986301369863	0.00782472613458529	0.005772931366260424	0.011099365750528542	0.0	0.008658008658008658	0.0038860103626943004	0.0	0.007757951900698215	0.009379885356956745	0.006466512702078523	0.006587615283267458	0.006006006006006006	0.0040858018386108275	0.003493788819875776	0.003627827571489543	0.0060406370126304225	0.0045359385903698535	0.00536779324055666	0.004289544235924933	0.005564226097577527	0.004749059686182138	0.003410418126605933	0.0033097466331887693	0.005761003092303139	0.005655904871768669	0.0047782213699663675	0.004675337003987089	0.0050416845157676225	0.003937217345038574	0.003642039542143599	0.003885685635497617	0.0030714656514967977	0.0030898163040717847	0.0025549922152580946	0.003723958153744297
Desulfobacterota	0.005843071786310518	0.0036855036855036856	0.0046533271288971625	0.0	0.005841507770307506	0.0042396834369700384	0.003558718861209965	0.0023839796567069298	0.008069522036002483	0.00597609561752988	0.007854821235102925	0.004592422502870263	0.0	0.005477308294209704	0.0038486209108402817	0.004404510218463707	0.013422818791946308	0.002886002886002886	0.0025906735751295338	0.004524886877828055	0.0064649599172485125	0.008077123501823864	0.006928406466512703	0.002635046113306983	0.005005005005005005	0.0010214504596527069	0.00562888198757764	0.004694835680751174	0.005354200988467874	0.006629448709002093	0.005566600397614315	0.004959785522788205	0.003053538712085228	0.003039398199156567	0.0022424667133847218	0.0017119379137183295	0.003186437167883347	0.0034120389975127704	0.0027977743547829364	0.001803683311182837	0.003723597060664977	0.0047353019420058534	0.0025271294782220886	0.002297986128520095	0.0025090846167156937	0.0026453906712943344	0.0031138967623458025	0.0027033177708662296
Armatimonadota	0.0	0.002457002457002457	0.002791996277338297	0.02857142857142857	0.002755428193541276	0.0018843037497644618	0.004067107269954246	0.003337571519389702	0.0	0.0	0.003114842903575298	0.0014351320321469576	0.0	0.005868544600938969	0.0032071840923669015	0.004052149400986611	0.0	0.002886002886002886	0.0012953367875647669	0.004524886877828055	0.0012929919834497026	0.0007816571130797289	0.005542725173210163	0.0	0.0	0.0040858018386108275	0.002523291925465838	0.004054630815194195	0.00041186161449752884	0.0013956734124214933	0.004174950298210737	0.0033512064343163553	0.0022392617221958346	0.002963413244177652	0.0028030833917309004	0.002396713079205662	0.0030781830248090137	0.003154067432793557	0.0038351513627361586	0.0041057528004556625	0.0024384617919398963	0.0030859271082734783	0.0031217481789802257	0.0023815492604662776	0.0018385533829382236	0.0021586387877761794	0.0023953052018044637	0.0025102236443757795
Bdellovibrionota	0.005008347245409015	0.0036855036855036856	0.0046533271288971625	0.0	0.0022594511187038462	0.002355379687205577	0.0010167768174885613	0.0034965034965034974	0.0012414649286157666	0.0	0.004333694474539545	0.001148105625717566	0.0	0.003129890453834116	0.0	0.0019379844961240314	0.0	0.001443001443001443	0.0038860103626943004	0.0022624434389140274	0.002585983966899405	0.0024752475247524757	0.0013856812933025404	0.003952569169960474	0.005005005005005005	0.0010214504596527069	0.002135093167701863	0.0025608194622279133	0.0030203185063152117	0.0003489183531053733	0.0021868787276341953	0.0021447721179624667	0.005021374770984601	0.005318946848524001	0.003784162578836716	0.0034809404245606046	0.004283098704244987	0.004745703313231061	0.003740844362013138	0.004390544902221371	0.0038554058061752447	0.003990422984836395	0.0043853129180912685	0.003446979192780137	0.005407509949818299	0.005841022602217915	0.004391392869974845	0.004751494755425573
RCP2-54	0.0008347245409015025	0.002457002457002457	0.002791996277338297	0.0	0.0003857599470957787	4.710759374411155e-05	0.0010167768174885613	0.0011125238397965672	0.00558659217877095	0.0	0.0020314192849404116	0.001722158438576349	0.0	0.002347417840375587	0.0032071840923669015	0.0026427061310782245	0.006711409395973154	0.0	0.0038860103626943004	0.0022624434389140274	0.0007757951900698216	0.0019541427826993227	0.0023094688221709007	0.002635046113306983	0.004004004004004004	0.0010214504596527069	0.0015527950310559005	0.0008536064874093043	0.0	0.0017445917655268665	0.0005964214711729623	0.002144772117962467	0.0013571283164823238	0.0014057216671099124	0.0010745153001635132	0.0008559689568591646	0.001143728555089591	0.0011194992431211633	0.0018232686806450595	0.0021122080880956896	0.0009885655913269844	0.0013833466347432832	0.001263564739111045	0.0010236483663407703	0.0007137913133760166	0.0008888512655548973	0.0005589045470877082	0.0007172067555359393
Latescibacterota	0.0025041736227045075	0.0	0.002791996277338297	0.0	0.0004959770748374297	0.0005652911249293386	0.0033045246568378247	0.0030197075651621115	0.0012414649286157666	0.00398406374501992	0.0013542795232936078	0.000574052812858783	0.0	0.0011737089201877935	0.0025657472738935213	0.00035236081747709656	0.0	0.002886002886002886	0.0012953367875647669	0.0022624434389140274	0.0012929919834497026	0.0	0.0013856812933025404	0.006587615283267458	0.001001001001001001	0.0020429009193054137	0.001358695652173913	0.0014938113529662828	0.0002745744096650192	0.00104675505931612	0.0009940357852882705	0.0010723860589812334	0.0018999796430752536	0.0018996238744728553	0.000934361130576968	0.0007989043597352201	0.0024427782719814704	0.002647859079382235	0.0011945553424915906	0.0012578317827985574	0.002240748673674499	0.002713487629688748	0.0016352014270848818	0.002047296732681538	0.001968333621733863	0.0015025819012951837	0.0011178090941754164	0.0012344231657782046
