	Proteobacteria	Acidobacteriota	Actinobacteriota	Firmicutes	Bacteroidota	Planctomycetota	Verrucomicrobiota	Bacteria_unclassified	Myxococcota	Chloroflexi	Crenarchaeota	Gemmatimonadota	Desulfobacterota	Deinococcota	Nitrospirota	Latescibacterota	Bdellovibrionota	Cyanobacteria	Armatimonadota	Methylomirabilota	RCP2-54	Entotheonellaeota	Fusobacteriota	Elusimicrobiota	NB1-j	Abditibacteriota	MBNT15	Patescibacteria	Fibrobacterota	Spirochaetota	Sumerlaeota	Dependentiae	WS2	Halobacterota	WPS-2	Thermoplasmatota	Campylobacterota	SAR324_clade(Marine_group_B)	GAL15	FCPU426	Archaea_unclassified	Deferrisomatota	Hydrogenedentes
21to22FACS16S221215A11	0.5044333387070771	0.1878123488634533	0.020312751894244727	0.0030630340157988068	0.05997098178300822	0.022892148960180558	0.016604868611961955	0.041109140738352416	0.006932129614702564	0.06255037884894406	0.015960019345477992	0.007738191197807513	0.00016121231662098983	0.0	0.00048363694986296955	0.0	0.0	0.003385458649040787	0.007576978881186523	0.0011284862163469288	0.02095760116072868	0.0	0.0	0.0	0.012735773013058197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004191520232145736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215A12	0.7247524752475248	0.06361386138613861	0.04554455445544555	0.015099009900990099	0.09207920792079206	0.007673267326732673	0.00024752475247524753	0.005198019801980198	0.014603960396039605	0.003465346534653465	0.0	0.0	0.0009900990099009901	0.01707920792079208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009653465346534653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215B01	0.2538672311060214	0.2103454774780001	0.1879612044594578	0.013395769604360872	0.04850892326427653	0.04998767705177091	0.04289835742348899	0.013845194775069946	0.018324948896008816	0.06871855836003311	0.009466923757194427	0.04558041086159158	0.0014932513736462879	0.0	0.007074822042129986	0.0034939182626092754	0.0032619568841787843	0.005146643083926527	0.007915682038940516	0.0013047827536715136	0.0003624396537976427	0.0	8.698551691143425e-05	8.698551691143425e-05	1.4497586151905708e-05	0.0012032996506081738	0.0006813865491395682	0.0006378937906838511	0.0	0.0	0.00024645896458239705	0.001435261029038665	1.4497586151905708e-05	0.0	4.3492758455717126e-05	0.0	0.0021021499920263276	0.0	0.0004929179291647941	0.0	0.0	0.0	0.0
21to22FACS16S221215B02	0.2310777111275866	0.27350542562512664	0.06557929500572894	0.027970614005526726	0.05860349127182045	0.057390308013749405	0.03949585495720161	0.03059917773134731	0.05287457033092941	0.03289074610770372	0.03255375075823954	0.024566960975938523	0.0157713823549235	0.0	0.007717193502729662	0.0011794837231246208	0.0013479813978567096	0.005931118150569521	0.005526723731212509	0.013075419559210082	0.016411673518905438	0.002291568376356406	0.000640291163981937	0.0	0.001280582327963874	0.0	0.0	0.0007076902338747725	0.0010109860483925321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215B03	0.2130029123071946	0.2729209362528317	0.07623233739618158	0.009222306115845109	0.08901413008305468	0.06372020278287129	0.0700571675115953	0.053014777262431215	0.019712005177435016	0.017824398662495956	0.027909610613741778	0.028394995146154685	0.012458202998597779	0.0	0.006606622802286701	0.009572861611476647	0.000647179376550534	0.0	0.0008898716427569841	0.0037212814151655702	0.011029015208715348	0.004826879516772733	0.0	0.0	0.004017905296084564	0.0	0.0010247006795383454	0.00037752130298781146	0.0	0.0	0.0026696149282709526	0.0011325639089634343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215B04	0.4634146341463414	0.1254355400696864	0.14307491289198604	0.11846689895470383	0.013501742160278746	0.0	0.006315331010452962	0.043336236933797914	0.0	0.03702090592334495	0.030270034843205576	0.012412891986062718	0.0	0.006315331010452962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00043554006968641115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215B05	0.7917137476459507	0.05662272441933459	0.01431261770244821	0.024482109227871942	0.021720025109855618	0.009290646578782171	0.0	0.02071563088512241	0.014814814814814815	0.0027620841180163213	0.020087884494664157	0.0	0.009918392969240426	0.004896421845574388	0.0	0.0	0.0	0.008662900188323917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215B06	0.6457298665887621	0.13545622748076738	0.049274515532184246	0.014120167494400624	0.02191060473269062	0.007498295841854124	0.025124160093485243	0.017236342389716622	0.017528483786152498	0.0075956763073327495	0.0018502288440938749	0.026000584282792873	0.012562080046742623	0.007985198169247249	0.0036030772227091247	0.0	0.0022397507060083746	0.0	0.0	0.0022397507060083746	0.0	0.0	0.0	0.002044989775051125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215B07	0.6966705836271052	0.04285154719937329	0.10278104191147672	0.0857814336075206	0.0199764982373678	0.019193106149627888	0.0021151586368977674	0.00015667841754798275	0.0046220133176654915	0.0	0.013631022326674501	0.00227183705444575	0.005170387779083431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004778691735213474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215B08	0.730033745781777	0.07663104611923509	0.04260404949381328	0.024043869516310462	0.002671541057367829	0.03304274465691789	0.011529808773903262	0.016451068616422947	0.0	0.022637795275590553	0.006608548931383577	0.004077615298087739	0.0	0.0	0.016451068616422947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013217097862767153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
